,Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
1953,FDN09,14.15,low fat,0.0,snack foods,244.18,OUT045,2002,medium,Tier 2,supermarket type1,731.05
1954,FDM08,10.1,regular,0.0539,fruits and vegetables,225.61,OUT017,2007,medium,Tier 2,supermarket type1,4250.47
1955,FDX01,10.1,low fat,0.0243,canned,117.62,OUT018,2009,medium,Tier 3,supermarket type2,1514.7
1956,DRO35,13.85,low fat,0.0346,hard drinks,115.05,OUT049,1999,medium,Tier 1,supermarket type1,4054.72
1957,FDS31,13.1,regular,0.0443,fruits and vegetables,178.53,OUT045,2002,medium,Tier 2,supermarket type1,3067.34
1958,NCM53,18.75,low fat,0.0521,health and hygiene,104.83,OUT049,1999,medium,Tier 1,supermarket type1,2343.62
1959,FDI16,14.0,regular,0.1357,frozen foods,52.06,OUT013,1987,high,Tier 3,supermarket type1,852.22
1960,DRF36,16.1,low fat,0.0236,soft drinks,192.88,OUT049,1999,medium,Tier 1,supermarket type1,5350.37
1961,FDW49,12.86,low fat,0.0822,canned,179.9,OUT027,1985,medium,Tier 3,supermarket type3,4119.3
1962,FDB58,12.86,regular,0.0236,snack foods,141.72,OUT019,1985,small,Tier 1,grocery store,425.45
1963,NCJ18,12.35,low fat,0.1643,household,119.81,OUT045,2002,medium,Tier 2,supermarket type1,2133.22
1964,FDL51,20.7,regular,0.0476,dairy,215.09,OUT045,2002,medium,Tier 2,supermarket type1,5145.3
1965,FDS03,7.82,low fat,0.08,meat,62.78,OUT018,2009,medium,Tier 3,supermarket type2,1162.49
1966,NCO54,12.86,low fat,0.025,household,53.66,OUT019,1985,small,Tier 1,grocery store,165.78
1967,FDA48,12.1,low fat,0.1151,baking goods,222.01,OUT045,2002,medium,Tier 2,supermarket type1,3547.38
1968,NCK06,12.86,low fat,0.0086,household,123.18,OUT027,1985,medium,Tier 3,supermarket type3,1211.76
1969,NCZ54,14.65,low fat,0.0835,household,162.46,OUT045,2002,medium,Tier 2,supermarket type1,2274.37
1970,FDW39,12.86,regular,0.0367,meat,177.24,OUT027,1985,medium,Tier 3,supermarket type3,4763.8
1971,FDI09,20.75,regular,0.1293,seafood,238.19,OUT046,1997,small,Tier 1,supermarket type1,5033.45
1972,NCO02,11.15,low fat,0.0,others,65.01,OUT049,1999,medium,Tier 1,supermarket type1,1120.54
1973,DRF13,12.1,low fat,0.0298,soft drinks,144.34,OUT049,1999,medium,Tier 1,supermarket type1,2612.6
1974,FDK25,11.6,regular,0.1577,breakfast,168.35,OUT017,2007,medium,Tier 2,supermarket type1,4548.08
1975,FDZ38,17.6,low fat,0.008,dairy,173.74,OUT017,2007,medium,Tier 2,supermarket type1,5863.03
1976,NCQ42,12.86,low fat,0.0688,household,127.97,OUT019,1985,small,Tier 1,grocery store,254.34
1977,FDM14,12.86,low fat,0.0132,canned,108.93,OUT027,1985,medium,Tier 3,supermarket type3,2713.14
1978,FDC20,10.65,low fat,0.024,fruits and vegetables,54.03,OUT046,1997,small,Tier 1,supermarket type1,447.42
1979,FDW32,18.35,regular,0.0947,fruits and vegetables,86.29,OUT018,2009,medium,Tier 3,supermarket type2,1631.88
1980,FDQ19,7.35,regular,0.0144,fruits and vegetables,241.35,OUT045,2002,medium,Tier 2,supermarket type1,5331.73
1981,FDE08,18.2,low fat,0.0494,fruits and vegetables,146.47,OUT049,1999,medium,Tier 1,supermarket type1,3563.36
1982,FDC29,8.39,regular,0.0242,frozen foods,116.02,OUT049,1999,medium,Tier 1,supermarket type1,1603.25
1983,FDV50,14.3,low fat,0.1225,dairy,121.97,OUT013,1987,high,Tier 3,supermarket type1,2709.81
1984,FDF11,10.2,regular,0.0177,starchy foods,239.85,OUT017,2007,medium,Tier 2,supermarket type1,4086.01
1985,FDN09,14.15,low fat,0.035,snack foods,245.38,OUT018,2009,medium,Tier 3,supermarket type2,1705.78
1986,DRG37,16.2,low fat,0.0194,soft drinks,153.8,OUT045,2002,medium,Tier 2,supermarket type1,1402.17
1988,DRJ13,12.65,low fat,0.1053,soft drinks,159.96,OUT010,1998,medium,Tier 3,grocery store,962.75
1989,DRF25,12.86,low fat,0.0387,soft drinks,37.32,OUT027,1985,medium,Tier 3,supermarket type3,1281.66
1990,FDE53,10.9,low fat,0.045,frozen foods,107.23,OUT010,1998,medium,Tier 3,grocery store,426.11
1991,FDS08,5.74,low fat,0.057,fruits and vegetables,176.34,OUT046,1997,small,Tier 1,supermarket type1,1764.37
1992,FDO23,17.85,low fat,0.1473,breads,93.74,OUT017,2007,medium,Tier 2,supermarket type1,1701.78
1993,FDT07,5.82,regular,0.0773,fruits and vegetables,255.43,OUT046,1997,small,Tier 1,supermarket type1,4357.66
1994,NCX29,10.0,low fat,0.0891,health and hygiene,146.91,OUT035,2004,small,Tier 2,supermarket type1,3207.82
1995,FDG22,17.6,regular,0.0414,snack foods,38.12,OUT035,2004,small,Tier 2,supermarket type1,732.38
1997,FDL43,10.1,low fat,0.027,meat,77.57,OUT013,1987,high,Tier 3,supermarket type1,306.27
1999,FDZ21,17.6,regular,0.0392,snack foods,97.24,OUT046,1997,small,Tier 1,supermarket type1,193.08
2000,FDJ50,8.64,low fat,0.0216,canned,53.4,OUT035,2004,small,Tier 2,supermarket type1,1209.76
2001,FDV35,19.5,low fat,0.1282,breads,155.93,OUT046,1997,small,Tier 1,supermarket type1,3878.28
2002,FDW56,7.68,low fat,0.0713,fruits and vegetables,190.82,OUT017,2007,medium,Tier 2,supermarket type1,2693.83
2003,DRL35,15.7,low fat,0.0308,hard drinks,43.28,OUT045,2002,medium,Tier 2,supermarket type1,649.16
2004,FDR01,5.4,regular,0.0537,canned,199.07,OUT045,2002,medium,Tier 2,supermarket type1,4777.78
2005,FDS24,20.85,regular,0.0624,baking goods,86.95,OUT045,2002,medium,Tier 2,supermarket type1,1416.82
2006,NCL17,7.39,low fat,0.0682,health and hygiene,140.48,OUT017,2007,medium,Tier 2,supermarket type1,2422.18
2007,FDS13,6.46,low fat,0.0,canned,263.19,OUT018,2009,medium,Tier 3,supermarket type2,2914.87
2008,FDB59,18.25,low fat,0.0153,snack foods,197.61,OUT045,2002,medium,Tier 2,supermarket type1,2380.9
2009,FDW26,12.86,regular,0.1065,dairy,222.38,OUT027,1985,medium,Tier 3,supermarket type3,1556.64
2010,FDQ12,12.86,low fat,0.062,baking goods,230.0,OUT019,1985,small,Tier 1,grocery store,689.1
2011,FDX59,10.2,low fat,0.0516,breads,31.96,OUT013,1987,high,Tier 3,supermarket type1,373.51
2012,FDL36,15.1,low fat,0.0765,baking goods,91.58,OUT017,2007,medium,Tier 2,supermarket type1,539.3
2013,FDQ55,13.65,regular,0.0131,fruits and vegetables,114.88,OUT018,2009,medium,Tier 3,supermarket type2,1612.57
2014,FDV46,12.86,low fat,0.0221,snack foods,141.42,OUT019,1985,small,Tier 1,grocery store,559.27
2015,FDM28,12.86,low fat,0.0791,frozen foods,181.47,OUT019,1985,small,Tier 1,grocery store,179.77
2016,FDT40,5.98,low fat,0.0963,frozen foods,125.27,OUT017,2007,medium,Tier 2,supermarket type1,763.01
2017,DRJ11,9.5,low fat,0.1424,hard drinks,189.99,OUT010,1998,medium,Tier 3,grocery store,756.35
2018,FDD51,11.15,low fat,0.0,dairy,44.77,OUT045,2002,medium,Tier 2,supermarket type1,181.1
2019,NCT17,12.86,low fat,0.0417,health and hygiene,188.62,OUT027,1985,medium,Tier 3,supermarket type3,6029.48
2020,NCW17,18.0,low fat,0.0194,health and hygiene,126.9,OUT046,1997,small,Tier 1,supermarket type1,3083.99
2021,NCY29,12.86,low fat,0.1352,health and hygiene,56.29,OUT019,1985,small,Tier 1,grocery store,113.19
2022,DRH36,16.2,low fat,0.0,soft drinks,73.47,OUT013,1987,high,Tier 3,supermarket type1,2087.95
2023,FDB17,13.15,low fat,0.0367,frozen foods,179.8,OUT049,1999,medium,Tier 1,supermarket type1,2535.37
2024,NCA17,20.6,low fat,0.0454,health and hygiene,148.44,OUT013,1987,high,Tier 3,supermarket type1,1789.67
2025,FDT27,11.4,regular,0.0696,meat,234.66,OUT046,1997,small,Tier 1,supermarket type1,4687.23
2026,FDR32,6.78,regular,0.0857,fruits and vegetables,229.57,OUT013,1987,high,Tier 3,supermarket type1,3425.54
2027,FDG41,8.84,regular,0.0767,frozen foods,110.72,OUT049,1999,medium,Tier 1,supermarket type1,1657.84
2028,FDX25,16.7,low fat,0.1021,canned,184.03,OUT046,1997,small,Tier 1,supermarket type1,3101.3
2029,FDG56,13.3,regular,0.0719,fruits and vegetables,63.25,OUT017,2007,medium,Tier 2,supermarket type1,1347.58
2030,FDN16,12.6,regular,0.0631,frozen foods,102.4,OUT017,2007,medium,Tier 2,supermarket type1,2270.38
2031,FDD47,7.6,regular,0.1424,starchy foods,172.34,OUT035,2004,small,Tier 2,supermarket type1,2556.67
2032,FDR12,12.6,regular,0.0315,baking goods,170.58,OUT013,1987,high,Tier 3,supermarket type1,3779.08
2033,FDS33,6.67,regular,0.1236,snack foods,90.05,OUT049,1999,medium,Tier 1,supermarket type1,1505.37
2034,NCC55,10.7,low fat,0.0638,household,36.78,OUT035,2004,small,Tier 2,supermarket type1,782.98
2035,FDA38,12.86,low fat,0.0446,dairy,241.15,OUT019,1985,small,Tier 1,grocery store,480.71
2036,FDK44,16.6,low fat,0.1222,fruits and vegetables,173.57,OUT035,2004,small,Tier 2,supermarket type1,1911.51
2037,FDZ57,10.0,regular,0.0378,snack foods,127.3,OUT046,1997,small,Tier 1,supermarket type1,642.5
2038,NCN14,19.1,low fat,0.0924,others,185.26,OUT017,2007,medium,Tier 2,supermarket type1,1470.09
2039,NCB06,17.6,low fat,0.1378,health and hygiene,161.79,OUT010,1998,medium,Tier 3,grocery store,159.79
2041,FDU10,10.1,regular,0.0458,snack foods,38.48,OUT049,1999,medium,Tier 1,supermarket type1,633.84
2042,NCS38,8.6,low fat,0.0906,household,112.62,OUT018,2009,medium,Tier 3,supermarket type2,3091.98
2043,FDQ16,19.7,low fat,0.0417,frozen foods,109.19,OUT013,1987,high,Tier 3,supermarket type1,1637.87
2044,FDS40,15.35,low fat,0.0141,frozen foods,37.22,OUT017,2007,medium,Tier 2,supermarket type1,805.62
2045,FDE36,5.26,regular,0.042,baking goods,162.69,OUT017,2007,medium,Tier 2,supermarket type1,3767.1
2046,FDV31,9.8,low fat,0.1069,fruits and vegetables,175.34,OUT045,2002,medium,Tier 2,supermarket type1,529.31
2047,NCD42,16.5,low fat,0.0127,health and hygiene,39.35,OUT045,2002,medium,Tier 2,supermarket type1,645.16
2048,FDT20,10.5,low fat,0.0414,fruits and vegetables,40.12,OUT035,2004,small,Tier 2,supermarket type1,849.56
2049,NCN19,13.1,low fat,0.0121,others,191.35,OUT018,2009,medium,Tier 3,supermarket type2,1328.27
2050,FDW21,12.86,regular,0.0059,snack foods,98.84,OUT027,1985,medium,Tier 3,supermarket type3,2010.72
2051,FDF34,9.3,regular,0.014,snack foods,196.51,OUT045,2002,medium,Tier 2,supermarket type1,4364.98
2052,FDI28,14.3,low fat,0.0264,frozen foods,79.63,OUT045,2002,medium,Tier 2,supermarket type1,792.3
2053,FDG44,12.86,low fat,0.0,fruits and vegetables,55.73,OUT027,1985,medium,Tier 3,supermarket type3,2804.35
2054,DRF60,10.8,low fat,0.0522,soft drinks,240.36,OUT045,2002,medium,Tier 2,supermarket type1,4290.42
2055,FDQ36,12.86,regular,0.0,baking goods,38.18,OUT019,1985,small,Tier 1,grocery store,37.28
2056,FDP34,12.85,low fat,0.1378,snack foods,157.76,OUT018,2009,medium,Tier 3,supermarket type2,2659.87
2057,FDA20,6.78,low fat,0.0666,fruits and vegetables,184.62,OUT035,2004,small,Tier 2,supermarket type1,5406.3
2058,FDE41,9.2,regular,0.064,frozen foods,85.56,OUT035,2004,small,Tier 2,supermarket type1,930.12
2059,DRK47,7.9,low fat,0.0641,hard drinks,229.27,OUT046,1997,small,Tier 1,supermarket type1,1826.96
2060,FDY10,17.6,low fat,0.0493,snack foods,115.42,OUT017,2007,medium,Tier 2,supermarket type1,1145.18
2061,FDI02,15.7,regular,0.1152,canned,112.02,OUT017,2007,medium,Tier 2,supermarket type1,3150.57
2062,FDE41,12.86,regular,0.0,frozen foods,83.76,OUT019,1985,small,Tier 1,grocery store,253.67
2063,FDZ52,19.2,low fat,0.1,frozen foods,112.79,OUT013,1987,high,Tier 3,supermarket type1,1779.02
2064,FDG50,7.4,low fat,0.0153,canned,92.71,OUT018,2009,medium,Tier 3,supermarket type2,1185.79
2065,DRL01,19.5,regular,0.1292,soft drinks,234.0,OUT010,1998,medium,Tier 3,grocery store,467.39
2066,FDV48,9.2,regular,0.0519,baking goods,78.16,OUT017,2007,medium,Tier 2,supermarket type1,1414.16
2067,FDR48,11.65,low fat,0.1318,baking goods,151.1,OUT045,2002,medium,Tier 2,supermarket type1,1518.02
2068,NCD54,21.1,low fat,0.029,household,146.18,OUT013,1987,high,Tier 3,supermarket type1,3034.05
2069,NCT54,8.7,low fat,0.1202,household,93.21,OUT017,2007,medium,Tier 2,supermarket type1,666.47
2070,FDH02,7.27,regular,0.0208,canned,89.05,OUT013,1987,high,Tier 3,supermarket type1,181.1
2071,NCD43,8.85,low fat,0.016,household,105.7,OUT013,1987,high,Tier 3,supermarket type1,210.39
2072,FDE46,18.6,low fat,0.0158,snack foods,152.94,OUT035,2004,small,Tier 2,supermarket type1,1662.5
2073,NCO42,12.86,low fat,0.0245,household,144.61,OUT027,1985,medium,Tier 3,supermarket type3,3791.07
2074,FDR40,9.1,regular,0.008,frozen foods,78.76,OUT049,1999,medium,Tier 1,supermarket type1,402.81
2075,FDG24,7.98,low fat,0.0147,baking goods,82.42,OUT049,1999,medium,Tier 1,supermarket type1,749.02
2076,NCO17,10.0,low fat,0.0738,health and hygiene,121.44,OUT017,2007,medium,Tier 2,supermarket type1,2516.72
2077,FDF22,6.86,low fat,0.0568,snack foods,214.02,OUT046,1997,small,Tier 1,supermarket type1,5556.77
2078,FDC59,16.7,regular,0.0546,starchy foods,65.52,OUT035,2004,small,Tier 2,supermarket type1,1022.67
2079,NCY18,7.28,low fat,0.0521,household,174.91,OUT010,1998,medium,Tier 3,grocery store,525.32
2080,DRE48,8.43,low fat,0.0174,soft drinks,196.28,OUT045,2002,medium,Tier 2,supermarket type1,1576.61
2082,FDB56,8.75,regular,0.0747,fruits and vegetables,187.66,OUT049,1999,medium,Tier 1,supermarket type1,5257.16
2083,FDL20,12.86,low fat,0.1278,fruits and vegetables,111.19,OUT027,1985,medium,Tier 3,supermarket type3,4447.54
2084,NCZ53,12.86,low fat,0.0244,health and hygiene,190.42,OUT027,1985,medium,Tier 3,supermarket type3,5652.64
2085,DRM35,9.7,low fat,0.0704,hard drinks,177.53,OUT035,2004,small,Tier 2,supermarket type1,3033.38
2086,FDV16,7.75,regular,0.0829,frozen foods,35.26,OUT046,1997,small,Tier 1,supermarket type1,780.98
2087,FDY19,19.75,low fat,0.0413,fruits and vegetables,115.85,OUT013,1987,high,Tier 3,supermarket type1,2474.78
2089,FDM15,11.8,regular,0.0577,meat,152.44,OUT017,2007,medium,Tier 2,supermarket type1,3929.55
2090,FDP12,9.8,regular,0.0453,baking goods,36.89,OUT049,1999,medium,Tier 1,supermarket type1,564.6
2091,FDT21,7.42,low fat,0.0204,snack foods,248.01,OUT013,1987,high,Tier 3,supermarket type1,1245.05
2092,DRE49,20.75,low fat,0.0356,soft drinks,151.8,OUT010,1998,medium,Tier 3,grocery store,151.8
2093,FDN16,12.6,regular,0.0628,frozen foods,104.0,OUT049,1999,medium,Tier 1,supermarket type1,825.59
2094,FDE04,19.75,regular,0.0181,frozen foods,179.57,OUT018,2009,medium,Tier 3,supermarket type2,2696.49
2095,FDC51,10.9,regular,0.0096,dairy,122.97,OUT013,1987,high,Tier 3,supermarket type1,1231.73
2096,FDO04,16.6,low fat,0.0266,frozen foods,53.56,OUT018,2009,medium,Tier 3,supermarket type2,939.44
2097,FDD41,6.76,regular,0.0878,frozen foods,105.33,OUT017,2007,medium,Tier 2,supermarket type1,2090.61
2098,FDI45,13.1,low fat,0.0377,fruits and vegetables,175.81,OUT045,2002,medium,Tier 2,supermarket type1,2801.69
2099,NCB18,12.86,low fat,0.0411,household,89.55,OUT027,1985,medium,Tier 3,supermarket type3,3364.95
2100,FDW51,6.16,regular,0.0952,meat,213.96,OUT017,2007,medium,Tier 2,supermarket type1,2343.62
2101,NCK07,10.65,low fat,0.0487,others,164.15,OUT046,1997,small,Tier 1,supermarket type1,1808.98
2102,FDZ45,12.86,low fat,0.1171,snack foods,197.91,OUT019,1985,small,Tier 1,grocery store,992.04
2103,FDB37,20.25,regular,0.0229,baking goods,241.85,OUT046,1997,small,Tier 1,supermarket type1,5768.49
2104,FDZ60,20.5,low fat,0.1193,baking goods,106.06,OUT035,2004,small,Tier 2,supermarket type1,970.74
2105,FDN04,11.8,regular,0.0141,frozen foods,176.83,OUT013,1987,high,Tier 3,supermarket type1,3568.69
2106,FDW47,15.0,low fat,0.0463,breads,120.04,OUT013,1987,high,Tier 3,supermarket type1,3533.4
2107,FDB17,13.15,low fat,0.0366,frozen foods,180.8,OUT013,1987,high,Tier 3,supermarket type1,6157.32
2108,FDR56,15.5,regular,0.1012,fruits and vegetables,198.98,OUT018,2009,medium,Tier 3,supermarket type2,4729.84
2110,FDH40,11.6,regular,0.0794,frozen foods,81.73,OUT017,2007,medium,Tier 2,supermarket type1,1949.46
2111,FDH05,14.35,regular,0.0911,frozen foods,231.9,OUT049,1999,medium,Tier 1,supermarket type1,4633.97
2112,FDX58,13.15,low fat,0.0439,snack foods,182.7,OUT045,2002,medium,Tier 2,supermarket type1,4211.19
2113,FDC51,10.9,regular,0.0096,dairy,121.67,OUT035,2004,small,Tier 2,supermarket type1,1970.77
2114,NCR05,10.1,low fat,0.0549,health and hygiene,199.51,OUT017,2007,medium,Tier 2,supermarket type1,3372.94
2115,DRH25,18.7,low fat,0.0147,soft drinks,50.83,OUT017,2007,medium,Tier 2,supermarket type1,934.78
2116,NCR53,12.15,low fat,0.1453,health and hygiene,224.04,OUT049,1999,medium,Tier 1,supermarket type1,3375.61
2117,FDS04,10.2,regular,0.1467,frozen foods,138.68,OUT046,1997,small,Tier 1,supermarket type1,2388.22
2118,FDC03,8.57,regular,0.0718,dairy,193.38,OUT013,1987,high,Tier 3,supermarket type1,780.32
2119,FDP44,16.5,regular,0.1334,fruits and vegetables,102.23,OUT010,1998,medium,Tier 3,grocery store,102.53
2120,FDK16,9.06,low fat,0.1158,frozen foods,95.31,OUT018,2009,medium,Tier 3,supermarket type2,1713.77
2121,NCC30,16.6,low fat,0.0276,household,178.73,OUT046,1997,small,Tier 1,supermarket type1,1605.91
2123,NCO54,19.5,low fat,0.0143,household,57.16,OUT018,2009,medium,Tier 3,supermarket type2,1381.54
2124,NCP41,16.6,low fat,0.0271,health and hygiene,106.26,OUT010,1998,medium,Tier 3,grocery store,215.72
2125,DRE27,11.85,low fat,0.1329,dairy,98.07,OUT049,1999,medium,Tier 1,supermarket type1,1076.6
2126,FDQ10,12.85,low fat,0.0332,snack foods,170.64,OUT013,1987,high,Tier 3,supermarket type1,2931.52
2127,NCU42,9.0,low fat,0.0195,household,170.05,OUT049,1999,medium,Tier 1,supermarket type1,4211.19
2128,FDX43,5.66,low fat,0.0853,fruits and vegetables,165.85,OUT035,2004,small,Tier 2,supermarket type1,1830.95
2129,NCD19,8.93,low fat,0.0132,household,55.16,OUT046,1997,small,Tier 1,supermarket type1,939.44
2130,NCI54,15.2,low fat,0.0336,household,108.19,OUT035,2004,small,Tier 2,supermarket type1,1856.25
2131,FDS37,7.66,low fat,0.0535,canned,114.15,OUT010,1998,medium,Tier 3,grocery store,115.85
2132,FDO25,12.86,low fat,0.1268,canned,209.03,OUT027,1985,medium,Tier 3,supermarket type3,4613.99
2133,FDS57,15.5,low fat,0.1036,snack foods,143.55,OUT049,1999,medium,Tier 1,supermarket type1,1431.47
2134,FDI52,18.7,low fat,0.1048,frozen foods,122.11,OUT049,1999,medium,Tier 1,supermarket type1,490.03
2135,DRK12,9.5,low fat,0.0421,soft drinks,31.89,OUT018,2009,medium,Tier 3,supermarket type2,366.19
2136,FDG40,13.65,low fat,0.04,frozen foods,34.46,OUT017,2007,medium,Tier 2,supermarket type1,611.2
2137,FDU49,19.5,regular,0.0308,canned,86.25,OUT045,2002,medium,Tier 2,supermarket type1,2163.85
2138,FDR49,8.71,low fat,0.0,canned,46.54,OUT013,1987,high,Tier 3,supermarket type1,575.25
2139,FDF40,12.86,regular,0.0394,dairy,247.81,OUT019,1985,small,Tier 1,grocery store,498.02
2140,DRE03,19.6,low fat,0.0244,dairy,46.37,OUT017,2007,medium,Tier 2,supermarket type1,661.81
2141,FDR55,12.86,regular,0.1314,fruits and vegetables,189.19,OUT027,1985,medium,Tier 3,supermarket type3,5294.44
2142,NCU05,11.8,low fat,0.0587,health and hygiene,82.36,OUT035,2004,small,Tier 2,supermarket type1,1208.43
2143,FDR36,6.72,regular,0.1223,baking goods,40.35,OUT017,2007,medium,Tier 2,supermarket type1,838.91
2144,NCM30,19.1,low fat,0.0672,household,39.68,OUT013,1987,high,Tier 3,supermarket type1,660.47
2145,FDH24,20.7,low fat,0.0215,baking goods,156.63,OUT049,1999,medium,Tier 1,supermarket type1,3928.22
2146,DRO47,10.2,low fat,0.1127,hard drinks,113.99,OUT018,2009,medium,Tier 3,supermarket type2,452.74
2147,FDQ49,20.2,regular,0.0395,breakfast,155.16,OUT017,2007,medium,Tier 2,supermarket type1,782.32
2148,DRJ37,10.8,low fat,0.0611,soft drinks,151.9,OUT046,1997,small,Tier 1,supermarket type1,2580.64
2149,NCJ42,19.75,low fat,0.0144,household,100.83,OUT018,2009,medium,Tier 3,supermarket type2,1538.0
2150,FDD05,19.35,low fat,0.0166,frozen foods,120.91,OUT049,1999,medium,Tier 1,supermarket type1,1687.14
2151,FDC39,7.4,low fat,0.1598,dairy,206.63,OUT018,2009,medium,Tier 3,supermarket type2,3115.94
2152,NCY06,15.25,low fat,0.0613,household,128.9,OUT045,2002,medium,Tier 2,supermarket type1,2348.94
2153,NCS06,12.86,low fat,0.0556,household,263.59,OUT019,1985,small,Tier 1,grocery store,262.99
2154,FDE16,8.9,low fat,0.0264,frozen foods,207.9,OUT045,2002,medium,Tier 2,supermarket type1,3542.72
2155,NCQ50,18.75,low fat,0.0343,household,215.22,OUT046,1997,small,Tier 1,supermarket type1,4701.88
2156,FDX50,20.1,low fat,0.0746,dairy,110.32,OUT046,1997,small,Tier 1,supermarket type1,1768.36
2157,NCL41,12.35,low fat,0.042,health and hygiene,35.72,OUT017,2007,medium,Tier 2,supermarket type1,519.32
2158,FDM58,16.85,regular,0.08,snack foods,111.85,OUT018,2009,medium,Tier 3,supermarket type2,1677.82
2159,FDH35,18.25,low fat,0.1008,starchy foods,166.35,OUT010,1998,medium,Tier 3,grocery store,164.45
2160,FDS50,17.0,low fat,0.0555,dairy,219.81,OUT049,1999,medium,Tier 1,supermarket type1,1108.56
2161,FDT09,12.86,regular,0.0122,snack foods,133.23,OUT027,1985,medium,Tier 3,supermarket type3,4350.34
2162,FDR60,14.3,low fat,0.1309,baking goods,76.73,OUT018,2009,medium,Tier 3,supermarket type2,1312.96
2163,FDG22,17.6,regular,0.0414,snack foods,35.02,OUT046,1997,small,Tier 1,supermarket type1,659.14
2164,FDL52,12.86,regular,0.0459,frozen foods,37.95,OUT027,1985,medium,Tier 3,supermarket type3,910.81
2165,DRJ39,20.25,low fat,0.0365,dairy,218.35,OUT018,2009,medium,Tier 3,supermarket type2,2409.53
2166,FDW45,18.0,low fat,0.0392,snack foods,145.14,OUT017,2007,medium,Tier 2,supermarket type1,2648.55
2167,NCQ38,16.35,low fat,0.0134,others,106.03,OUT045,2002,medium,Tier 2,supermarket type1,1065.28
2168,FDB26,14.0,regular,0.0314,canned,53.76,OUT017,2007,medium,Tier 2,supermarket type1,798.96
2169,DRG48,5.78,low fat,0.0146,soft drinks,145.21,OUT046,1997,small,Tier 1,supermarket type1,3062.01
2170,FDH10,21.0,low fat,0.0825,snack foods,191.85,OUT010,1998,medium,Tier 3,grocery store,774.99
2171,FDP28,13.65,regular,0.0808,frozen foods,262.89,OUT049,1999,medium,Tier 1,supermarket type1,4958.88
2172,FDJ44,12.3,regular,0.178,fruits and vegetables,173.14,OUT010,1998,medium,Tier 3,grocery store,697.76
2173,FDI07,12.35,regular,0.0338,meat,196.94,OUT045,2002,medium,Tier 2,supermarket type1,2768.4
2174,DRJ24,11.8,low fat,0.114,soft drinks,185.19,OUT017,2007,medium,Tier 2,supermarket type1,2591.29
2175,DRL47,19.7,low fat,0.0387,hard drinks,127.34,OUT035,2004,small,Tier 2,supermarket type1,755.02
2176,FDP38,10.1,low fat,0.0321,canned,50.9,OUT013,1987,high,Tier 3,supermarket type1,354.21
2178,FDO23,17.85,low fat,0.1463,breads,94.14,OUT013,1987,high,Tier 3,supermarket type1,1607.24
2179,NCE54,20.7,low fat,0.0269,household,74.64,OUT013,1987,high,Tier 3,supermarket type1,1053.3
2180,FDS52,8.89,low fat,0.0055,frozen foods,99.7,OUT046,1997,small,Tier 1,supermarket type1,1922.83
2181,FDW01,14.5,low fat,0.064,canned,153.47,OUT035,2004,small,Tier 2,supermarket type1,1677.15
2182,NCF07,9.0,low fat,0.0322,household,100.8,OUT017,2007,medium,Tier 2,supermarket type1,1113.22
2183,DRE15,13.35,low fat,0.0179,dairy,77.5,OUT018,2009,medium,Tier 3,supermarket type2,1518.02
2184,FDR58,6.68,low fat,0.0419,snack foods,92.35,OUT046,1997,small,Tier 1,supermarket type1,2406.2
2185,FDL24,10.3,regular,0.0249,baking goods,173.04,OUT013,1987,high,Tier 3,supermarket type1,2069.31
2186,FDQ25,12.86,regular,0.0281,canned,173.74,OUT027,1985,medium,Tier 3,supermarket type3,3621.29
2187,FDX56,17.1,regular,0.074,fruits and vegetables,207.06,OUT013,1987,high,Tier 3,supermarket type1,4969.53
2188,FDD20,14.15,low fat,0.0208,fruits and vegetables,123.6,OUT018,2009,medium,Tier 3,supermarket type2,1245.05
2189,DRF60,10.8,low fat,0.0524,soft drinks,236.56,OUT017,2007,medium,Tier 2,supermarket type1,5243.84
2190,FDW13,8.5,low fat,0.0983,canned,51.33,OUT018,2009,medium,Tier 3,supermarket type2,934.78
2191,FDF09,6.22,low fat,0.0121,fruits and vegetables,39.28,OUT013,1987,high,Tier 3,supermarket type1,521.99
2192,FDY45,17.5,low fat,0.0,snack foods,253.04,OUT035,2004,small,Tier 2,supermarket type1,4578.04
2193,FDR26,20.7,low fat,0.0429,dairy,178.3,OUT045,2002,medium,Tier 2,supermarket type1,1062.62
2194,FDZ01,8.98,regular,0.0091,canned,103.4,OUT046,1997,small,Tier 1,supermarket type1,2579.98
2195,FDH53,20.5,regular,0.0321,frozen foods,83.96,OUT010,1998,medium,Tier 3,grocery store,165.12
2196,FDG52,13.65,low fat,0.0659,frozen foods,46.14,OUT018,2009,medium,Tier 3,supermarket type2,459.4
2197,FDW50,13.1,low fat,0.0757,dairy,167.52,OUT045,2002,medium,Tier 2,supermarket type1,1504.04
2198,FDX49,4.62,regular,0.1018,canned,232.23,OUT035,2004,small,Tier 2,supermarket type1,5126.66
2199,FDJ44,12.3,regular,0.1063,fruits and vegetables,172.84,OUT046,1997,small,Tier 1,supermarket type1,2616.59
2200,NCI31,12.86,low fat,0.0809,others,37.52,OUT027,1985,medium,Tier 3,supermarket type3,842.24
2201,FDZ52,19.2,low fat,0.1001,frozen foods,112.49,OUT035,2004,small,Tier 2,supermarket type1,1223.07
